nm_id,keyword,keyword_class,target_grade,frequency_monthly,excluded
PENDING_33206346,,primary,top_1_3,,false
PENDING_35110541,,primary,top_1_3,,false
PENDING_35704170,,primary,top_1_3,,false
PENDING_36713559,,primary,top_1_3,,false
PENDING_37328842,,primary,top_1_3,,false
PENDING_31275686,,primary,top_1_3,,false
PENDING_33206165,,primary,top_1_3,,false
PENDING_31314341,,primary,top_1_3,,false
PENDING_35098216,,primary,top_1_3,,false
PENDING_37636194,,primary,top_1_3,,false
