advert_id,nm_id,keyword,action,reason_code,reason_text,decided_at
37636194,1085061548,кухонная тряпка,exclude_keyword,SECONDARY_WEAK,Secondary/longtail без конверсии,2026-07-07T09:34:19.166807Z
33206346,754549033,перчатка для пыли,exclude_keyword,SECONDARY_WEAK,Secondary/longtail без конверсии,2026-07-07T09:34:19.135183Z
