advert_id,nm_id,primary_keyword,target_grade,keyword,is_primary,shows,clicks,orders,ctr_pct,cpc_rub,spend_rub,bid_rub,status,retail_price_rub,cost_price_rub,margin_pct,max_drr_pct,parsed_position,keywords_synced_at
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные с хлопковым напылением внутри,False,35,13,2,37.14,0.94,12.22,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки женские резиновые,False,34,6,0,17.65,1.98,11.88,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки хозяйственные резиновые для уборки,False,34,3,1,8.82,3.97,11.91,3.5,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,резиновые перчатки для уборки прочные,False,34,3,0,8.82,3.97,11.91,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки для уборки сверхпрочные l,False,33,5,1,15.15,2.97,14.85,4.5,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,умная салфетка для стекол без разводов,False,32,2,1,6.25,5.6,11.2,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,резиновые перчатки для уборки прочные,False,32,1,1,3.13,11.2,11.2,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,умная салфетка для стекол и зеркал без разводов корея,False,31,2,0,6.45,5.43,10.86,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые высокие,False,31,7,1,22.58,2.66,18.62,6.0,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для стекол корея,False,30,2,0,6.67,5.25,10.5,3.5,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые плотные для огорода,False,30,3,0,10.0,3.5,10.5,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки для уборки с пеной,False,30,13,1,43.33,0.81,10.53,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые красные,False,29,6,0,20.69,1.69,10.14,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые хозяйственные s,False,29,5,5,17.24,2.03,10.15,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые плотные для уборки,False,29,0,0,0.0,,0.0,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,абразивные пенящиеся салфетки для кухни,False,29,0,0,0.0,,0.0,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки с пеной,False,29,8,0,27.59,1.27,10.16,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки латексные прочные хозяйственные,False,28,1,0,3.57,9.8,9.8,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для уборки сверхпрочные s,False,28,5,3,17.86,1.96,9.8,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,мочалка для душа рукавица,False,28,3,0,10.71,0.75,2.25,,pending_100_shows,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для окон и зеркал без разводов корея,False,27,9,3,33.33,1.05,9.45,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для мытья зеркал и стекол без разводов,False,27,5,0,18.52,1.89,9.45,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые прочные мужские,False,27,4,1,14.81,2.36,9.44,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки хозяйственные прочные для уборки,False,26,4,3,15.38,2.28,9.12,,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,умная салфетка для мытья окон,False,26,3,1,11.54,3.03,9.09,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки садовые высокие,False,26,0,0,0.0,,0.0,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки садовые женские хлопок,False,26,1,0,3.85,9.1,9.1,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетка для стекол и зеркал корейская,False,25,5,0,20.0,1.75,8.75,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для мытья окон без разводов и зеркал корея,False,25,5,0,20.0,1.75,8.75,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,умная тряпка для окон,False,25,2,0,8.0,4.38,8.76,,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые хозяйственные xl,False,25,17,3,68.0,0.51,8.67,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки хозяйственные s,False,25,7,0,28.0,1.25,8.75,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки высокие хозяйственные,False,25,2,0,8.0,4.38,8.76,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,пенящиеся салфетки для кухни,False,25,3,0,12.0,2.92,8.76,,pending_100_shows,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые для кухни,False,24,3,0,12.5,2.8,8.4,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для уборки l,False,23,4,0,17.39,2.01,8.04,,pending_100_shows,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для чистки овощей,False,23,0,0,0.0,,0.0,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные с хлопковым напылением,False,23,7,0,30.43,1.15,8.05,,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
